IR, Red
123515,110187
123651,110231
123737,110272
123877,110320
124010,110366
124048,110368
123992,110343
124012,110357
124103,110403
124250,110435
124420,110477
124519,110497
124586,110547
124681,110567
124749,110593
124785,110601
124277,110430
123433,110127
123280,110075
123354,110094
123418,110114
123481,110115
123576,110178
123665,110201
123649,110207
123657,110190
123703,110218
123836,110260
124006,110323
124146,110332
124225,110380
124307,110404
124401,110402
124445,110446
124544,110486
124213,110361
123338,110058
123079,109956
123147,109969
123191,110000
123234,110008
123344,110053
123437,110093
123476,110099
123472,110096
123516,110102
123661,110155
123803,110196
123974,110253
124114,110282
124211,110324
124379,110370
124543,110421
124730,110468
124923,110507
125030,110548
124521,110362
123413,109971
123144,109860
123246,109892
123347,109953
123424,109963
123585,110029
123726,110061
123742,110078
123729,110055
123800,110071
123945,110129
124114,110190
124252,110214
124347,110260
124434,110282
124529,110318
124619,110362
124701,110382
124818,110430
124913,110441
125008,110487
124810,110398
123754,110040
123186,109841
123240,109842
123333,109892
123432,109936
123543,109939
123716,110018
123738,110019
123689,110016
123713,110025
123813,110068
124006,110107
124182,110160
124268,110194
124357,110212
124415,110227
124477,110264
124580,110275
124631,110321
124732,110353
124854,110382
124948,110408
124536,110258
123532,109907
123284,109823
123364,109839
123491,109894
123573,109904
123692,109972
123813,110008
123790,109980
123794,109977
123872,110016
124062,110063
124215,110137
124349,110174
124448,110204
124501,110216
124604,110241
124671,110250
124738,110291
124827,110314
124922,110341
124853,110332
124046,110059
123389,109810
123362,109803
123461,109854
123556,109872
123686,109899
123791,109942
123837,109968
123797,109958
123836,109966
123986,110013
124104,110054
124289,110122
124422,110161
124518,110195
124602,110235
124706,110243
